country,happiness
Afghanistan,2.694303274
Albania,5.004402637
Algeria,5.043086052
Argentina,5.792796612
Armenia,5.062448502
Australia,7.17699337
Austria,7.396001816
Azerbaijan,5.167995453
Bangladesh,4.499217033
Belarus,5.233769894
Belgium,6.89217186
Benin,5.81982708
Bolivia,5.915734291
Bosnia and Herzegovina,5.887401104
Botswana,3.4613657
Brazil,6.190921783
Bulgaria,5.098813534
Burkina Faso,4.92723608
Burundi,3.775283098
Cambodia,5.121837616
Cameroon,5.250737667
Canada,7.175496578
Chad,4.486325264
Chile,6.436220646
China,5.131433964
Colombia,5.983512402
Comoros,3.972819567
Congo (Brazzaville),5.490214348
Costa Rica,7.141074657
Croatia,5.536271095
Cyprus,6.276443005
Czech Republic,7.034165382
Denmark,7.648785591
Dominican Republic,5.433215618
Ecuador,6.128010273
Egypt,4.005450726
El Salvador,6.276246071
Estonia,6.091302395
Ethiopia,4.379262447
Finland,7.85810709
France,6.665903568
Gabon,4.783009052
Gambia,4.922099113
Georgia,4.659097195
Germany,7.118364334
Greece,5.40928936
Guatemala,6.626591682
Guinea,5.25222683
Haiti,3.614928007
Honduras,5.908423901
India,3.818068743
Indonesia,5.340295792
Iran,4.278117657
Ireland,6.962335587
Israel,6.92717886
Italy,6.516526699
Ivory Coast,5.26837492
Japan,5.793575287
Jordan,4.638933659
Kazakhstan,6.00763607
Kenya,4.655702591
Kosovo,6.391825676
Kyrgyzstan,5.297383308
Laos,4.85940218
Latvia,5.901154041
Lebanon,5.167186737
Liberia,4.134852886
Libya,5.493977547
Lithuania,6.308878899
Luxembourg,7.242630959
Macedonia,5.239834785
Madagascar,4.070586681
Malawi,3.334633589
Malaysia,5.338817596
Mali,4.415729523
Malta,6.909710884
Mauritania,4.313615322
Mauritius,5.88174057
Mexico,6.549578667
Moldova,5.682277203
Mongolia,5.464622974
Montenegro,5.650189877
Morocco,4.896791935
Mozambique,4.653713703
Myanmar,4.410633087
Namibia,4.834087849
Nepal,4.910086632
Netherlands,7.463097095
New Zealand,7.370285988
Nicaragua,5.81895256
Niger,5.164007187
Nigeria,5.252288342
North Cyprus,5.608056068
Norway,7.444262028
Pakistan,5.471553802
Palestinian Territories,4.5539217
Panama,6.281434059
Peru,5.679661274
Philippines,5.869172573
Portugal,5.919822693
Romania,6.150878906
Russia,5.513500214
Rwanda,3.5610466
Saudi Arabia,6.356393337
Senegal,4.769377232
Serbia,5.936493397
Sierra Leone,4.305683136
Singapore,6.374564171
Slovakia,6.23511076
Slovenia,6.249419212
South Africa,4.8839221
South Korea,5.840231419
Spain,6.513370991
Sri Lanka,4.400223255
Swaziland,4.211565018
Sweden,7.374792099
Switzerland,7.508586884
Taiwan Province of China,6.467004776
Tanzania,3.445023298
Thailand,6.011561871
Togo,4.022894859
Tunisia,4.741132259
Turkey,5.185689449
Turkmenistan,4.620601654
Uganda,4.321714878
Ukraine,4.661909103
United Arab Emirates,6.603743553
United Kingdom,7.233445168
United States,6.882684708
Uruguay,6.371714592
Uzbekistan,6.205460072
Venezuela,5.005663395
Vietnam,5.295547009
Yemen,3.057513952
Zambia,4.041488171
Zimbabwe,3.616479874
